NODE,SWIP,PORT,TOKYTHUAT,TRAM,MACSHT
UL_DHO093M_LAN,10.81.4.65,16,Đức Hòa,Ấp 1B Hựu Thạnh-DHO093M,CSHT_LAN_00616
3G_DHU700B_LAN,10.81.5.98,9,Đức Huệ,Ấp 3 Bình Hòa Nam-DHU024M,CSHT_LAN_00629
4G-DHU700B-LAN,10.81.5.98,15,Đức Huệ,Ấp 3 Bình Hòa Nam-DHU024M,CSHT_LAN_00629
UL_DHU024M_LAN,10.81.5.98,4,Đức Huệ,Ấp 3 Bình Hòa Nam-DHU024M,CSHT_LAN_00670
3G_TAN003M_LAN,10.81.5.10,6,Tân An 1,Ấp 3 Bình Tâm,CSHT_LAN_00008
GL_TAN003M_LAN,10.81.5.10,16,Tân An 1,Ấp 3 Bình Tâm,CSHT_LAN_00008
UL_DHO040M_LAN,10.81.4.64,6,Đức Hòa,Ấp 4 ĐHĐ (DHO040E),CSHT_LAN_00307
UL_DHO044M_LAN,10.81.4.253,2,Đức Huệ,Ấp An Thuận ANĐ (DHO044M),CSHT_LAN_00332
UL_DHO047M_LAN,10.81.5.141,23,Hậu Nghĩa,Ấp Bình Thủy (DHO047M),CSHT_LAN_00318
UL_DHU020M_LAN,10.81.5.131,9,Đức Huệ,Ấp Chánh BHB (DHU020M),CSHT_LAN_00308
2G_DHU020M_LAN,E1,E1,Đức Huệ,Ấp Chánh BHB (DHU020M),CSHT_LAN_00308
UL_DHO045M_LAN,10.81.5.153,4,Đức Huệ,Ấp Sơn Lợi ANT (DHO045M),CSHT_LAN_00317
3G_MHO020M_LAN,10.81.5.220,2,Mộc Hóa,Bình Hòa Trung (MHO020E),CSHT_LAN_00312
4G-MHO020M-LAN,10.81.5.220,3,Mộc Hóa,Bình Hòa Trung (MHO020E),CSHT_LAN_00312
UL_BLU703B_LAN,10.81.4.67,6,Bến Lức,BLU034E (KDC Thanh Yến),CSHT_LAN_00654
UL_BLU034M_LAN,10.81.4.67,5,Bến Lức,BLU034E (KDC Thanh Yến),CSHT_LAN_00304
UL_BLU035M_LAN,10.81.4.91,17,Gò Đen,BLU035E (Ấp Phước Tình),CSHT_LAN_00310
2G_BLU035M_LAN,10.81.4.90,1,Gò Đen,BLU035E (Ấp Phước Tình),CSHT_LAN_00310
UL_BLU038M_LAN,10.81.4.86,3,Bến Lức,BLU038M (Ấp 4 Thanh Phú),CSHT_LAN_00322
2G_BLU038M_LAN,10.81.4.87,6,Bến Lức,BLU038M (Ấp 4 Thanh Phú),CSHT_LAN_00322
3G_BLU041M_LAN,10.81.4.26,21,Bến Lức,BLU041M (Ấp 2 Thạnh Hòa),CSHT_LAN_00321
4G-BLU041M-LAN,10.81.4.26,7,Bến Lức,BLU041M (Ấp 2 Thạnh Hòa),CSHT_LAN_00321
2G_BLU041M_LAN,10.81.4.26,3,Bến Lức,BLU041M (Ấp 2 Thạnh Hòa),CSHT_LAN_00321
3G_BLU043M_LAN,10.81.4.90,7,Gò Đen,BLU043M (Ấp Chánh Long Hiệp),CSHT_LAN_00385
4G-BLU043M-LAN,10.81.4.90,6,Gò Đen,BLU043M (Ấp Chánh Long Hiệp),CSHT_LAN_00385
UL_BLU044W_LAN,10.81.5.61,5,Bến Lức,BLU044M (Khu CN Thuận Đạo),CSHT_LAN_00401
UL_BLU047M_LAN,10.81.5.95,4,Bến Lức,"BLU047M (Ấp Lò Gạch, Long Hiệp)",CSHT_LAN_00415
UL_BLU048M_LAN,10.81.4.94,2,Bến Lức,BLU048M (Ấp 6 Thạnh Đức),CSHT_LAN_00416
UL_BLU052M_LAN,10.81.4.94,15,Bến Lức,BLU052M (Ấp 3 Thạnh Đức),CSHT_LAN_00426
UL_BLU057M_LAN,10.81.5.103,14,Bến Lức,BLU057M (KCN Thịnh Phát),CSHT_LAN_00435
UL_BLU058M_LAN,10.81.4.88,22,Gò Đen,BLU058M (QL1A Mỹ Yên),CSHT_LAN_00434
UL_BLU059M_LAN,10.81.4.108,23,Gò Đen,BLU059M (ĐT830C Tân Bửu),CSHT_LAN_00439
UL_BLU060W_LAN,10.81.4.86,2,Bến Lức,BLU060M (KP5 Bến Lức),CSHT_LAN_00433
UL_BLU061M_LAN,10.81.4.100,8,Bến Lức,BLU061M (Ấp 7 Lương Hòa),CSHT_LAN_00587
UL_BLU062M_LAN,10.81.4.83,5,Bến Lức,BLU062M (KP10 Bến Lức),CSHT_LAN_00582
UL_BLU063M_LAN,10.81.4.83,8,Bến Lức,BLU063M (KP6 Bến Lức),CSHT_LAN_00581
UL_BLU064M_LAN,10.81.5.95,3,Bến Lức,BLU064M (KCN Phúc Long),CSHT_LAN_00599
UL_BLU065M_LAN,10.81.4.67,4,Bến Lức,BLU065M (Ấp 8 Nhựt Chánh),CSHT_LAN_00614
UL_BLU068M_LAN,10.81.4.94,5,Bến Lức,BLU068M (Ấp 2 Thạnh Đức),CSHT_LAN_00542
UL_BLU069M_LAN,10.81.5.97,7,Bến Lức,BLU069M-LAN (Ấp 9 xã Lương Hòa),CSHT_LAN_00725
UL_BLU070M_LAN,10.81.4.85,7,Bến Lức,BLU070M ( Khu phố 2 TT Bến Lức),CSHT_LAN_00727
UL_BLU071M_LAN,10.81.4.86,19,Bến Lức,"BLU071M (Khu DC 10, TT Bến Lức)",CSHT_LAN_00716
UL_BLU072M_LAN,10.81.4.94,3,Bến Lức,BLU072M (Ấp 2 Nhựt Chánh ),CSHT_LAN_00722
UL_BLU073M_LAN,10.81.4.94,7,Bến Lức,BLU073M (Ấp 1 Nhựt Chánh),CSHT_LAN_00723
UL_BLU076W_LAN,10.81.4.91,3,Gò Đen,"BLU076M ( Ấp Long Bình, Long Hiệp)",CSHT_LAN_00487
UL_BLU077M_LAN,10.81.4.90,14,Gò Đen,BLU077M (Ấp 2 xã Mỹ Yên),CSHT_LAN_00683
UL_BLU078M_LAN,10.81.4.91,6,Gò Đen,BLU078M ( Ấp 5 xã Phước Lợi),CSHT_LAN_00680
3G_BLU704B_LAN,10.81.5.61,11,Bến Lức,"BLU079M (Khu phố 6, Thị trấn Bến Lức)",CSHT_LAN_00657
4G-BLU704B-LAN,10.81.5.61,12,Bến Lức,"BLU079M (Khu phố 6, Thị trấn Bến Lức)",CSHT_LAN_00657
UL_BLU079W_LAN,10.81.5.61,10,Bến Lức,"BLU079M (Khu phố 6, Thị trấn Bến Lức)",CSHT_LAN_00502
UL_BLU080M_LAN,10.81.4.107,3,Bến Lức,"BLU080M (Ấp 1, xã Thạnh Lợi)",CSHT_LAN_00688
UL_BLU081M_LAN,10.81.5.93,10,Bến Lức,BLU081M,CSHT_LAN_00817
UL_BLU082M_LAN,10.81.4.97,17,Bến Lức,BLU082M,CSHT_LAN_00814
UL_BLU083M_LAN,10.81.5.90,22,Gò Đen,BLU083M,CSHT_LAN_00815
UL_BLU084M_LAN,10.81.5.90,23,Gò Đen,BLU084M,CSHT_LAN_00816
UL_BLU085M_LAN,10.81.4.95,7,Bến Lức,"BLU085M (Khu vui chơi Happy Land, xã Thạnh Đức)",CSHT_LAN_00860
UL_BLU086M_LAN,10.81.4.91,14,Gò Đen,"BLU086M (Lô C1-6 đến C1-30, đường VL2, KCN Vĩnh Lộc 2, xã Long Hiệp, huyện Bến Lức)",CSHT_LAN_00864
UL_BLU087M_LAN,10.81.4.86,5,Bến Lức,BLU087M,CSHT_LAN_00874
UL_BLU088M_LAN,10.81.4.86,16,Bến Lức,BLU088M,CSHT_LAN_00875
UL_BLU089M_LAN,10.81.4.91,2,Gò Đen,BLU089M,CSHT_LAN_00957
UL_BLU090M_LAN,10.81.4.91,18,Gò Đen,BLU090M,CSHT_LAN_00958
UL_BLU091M_LAN,10.81.4.94,11,Bến Lức,BLU091M,CSHT_LAN_00963
UL_BLU092M_LAN,10.81.4.107,4,Bến Lức,BLU092M,CSHT_LAN_00949
4G-BLU093S-LAN,10.81.4.98,5,Bến Lức,BLU093S,CSHT_LAN_00407
UL_BLU094M_LAN,10.81.5.61,16,Bến Lức,BLU094M,CSHT_LAN_00873
UL_BLU095M_LAN,10.81.4.108,7,Gò Đen,BLU095M,CSHT_LAN_00959
UL_BLU096M_LAN,10.81.4.86,21,Bến Lức,BLU096M,CSHT_LAN_00918
UL_BLU099M_LAN,10.81.4.87,10,Bến Lức,BLU099M,CSHT_LAN_00924
UL_TTU001M_LAN,10.81.5.35,2,Thủ Thừa,BTS Ấp 1_ Long Hải,CSHT_LAN_00240
2G_TTU001M_LAN,E1,E1,Thủ Thừa,BTS Ấp 1_ Long Hải,CSHT_LAN_00240
2G_BLU002M_LAN,10.81.5.90,10,Gò Đen,BTS Ấp 2 Long Định,CSHT_LAN_00011
UL_BLU002M_LAN,10.81.4.91,9,Gò Đen,BTS Ấp 2 Long Định,CSHT_LAN_00011
2G_BLU006M_LAN,10.81.4.100,6,Bến Lức,BTS Ấp 6 Lương Hòa,CSHT_LAN_00190
3G_BLU006M_LAN,10.81.4.100,1,Bến Lức,BTS Ấp 6 Lương Hòa,CSHT_LAN_00190
UL_BLU006M_LAN,10.81.4.100,2,Bến Lức,BTS Ấp 6 Lương Hòa,CSHT_LAN_00190
3G_BLU007E_LAN,10.81.5.151,2,Bến Lức,BTS Ấp 9 Thạnh Hòa,CSHT_LAN_00208
UL_BLU007M_LAN,10.81.5.151,3,Bến Lức,BTS Ấp 9 Thạnh Hòa,CSHT_LAN_00208
2G_BLU007M_LAN,10.81.5.151,4,Bến Lức,BTS Ấp 9 Thạnh Hòa,CSHT_LAN_00208
3G_TTU003M_LAN,10.81.4.115,24,Thủ Thừa,BTS BDVHX Mỹ Lạc,CSHT_LAN_00135
4G-TTU003M-LAN,10.81.4.115,15,Thủ Thừa,BTS BDVHX Mỹ Lạc,CSHT_LAN_00135
2G_TTU003M_LAN,E1,E1,Thủ Thừa,BTS BDVHX Mỹ Lạc,CSHT_LAN_00135
3G_BLU016E_LAN,10.81.4.107,16,Bến Lức,BTS Long Hải Thạnh Lợi,CSHT_LAN_00205
3G_BLU016M_LAN,10.81.4.107,24,Bến Lức,BTS Long Hải Thạnh Lợi,CSHT_LAN_00205
4G-BLU016M-LAN,10.81.4.107,19,Bến Lức,BTS Long Hải Thạnh Lợi,CSHT_LAN_00205
2G_BLU016M_LAN,E1,E1,Bến Lức,BTS Long Hải Thạnh Lợi,CSHT_LAN_00205
3G_TTU004M_LAN,10.81.4.115,18,Thủ Thừa,BTS Long Thuận,CSHT_LAN_00048
UL_TTU004M_LAN,10.81.5.87,24,Thủ Thừa,BTS Long Thuận,CSHT_LAN_00048
2G_TTU004M_LAN,E1,E1,Thủ Thừa,BTS Long Thuận,CSHT_LAN_00048
UL_TTU005M_LAN,10.81.5.112,15,Thủ Thừa,BTS Long Thuan-Tan Thanh,CSHT_LAN_00002
2G_BLU020M_LAN,10.81.4.103,9,Gò Đen,BTS Ngã 3 Rạch Mít,CSHT_LAN_00215
UL_BLU020M_LAN,10.81.4.103,6,Gò Đen,BTS Ngã 3 Rạch Mít,CSHT_LAN_00215
2G_CGI013M_LAN,10.81.5.126,4,Cần Giuộc,BTS Phước Lâm 2,CSHT_LAN_00181
3G_CGI013M_LAN,10.81.5.126,2,Cần Giuộc,BTS Phước Lâm 2,CSHT_LAN_00181
4G-CGI013M-LAN,10.81.5.126,3,Cần Giuộc,BTS Phước Lâm 2,CSHT_LAN_00181
3G_CGI012E_LAN,10.81.4.145,19,Cần Giuộc,BTS Phước Lâm,CSHT_LAN_00179
3G_CGI012M_LAN,10.81.4.145,24,Cần Giuộc,BTS Phước Lâm,CSHT_LAN_00179
4G-CGI012M-LAN,10.81.4.145,21,Cần Giuộc,BTS Phước Lâm,CSHT_LAN_00179
2G_CGI012M_LAN,10.81.4.145,7,Cần Giuộc,BTS Phước Lâm,CSHT_LAN_00179
3G_TTH017M_LAN,10.81.4.209,2,Tân Thạnh,BTS Tân Thành,CSHT_LAN_00128
4G-TTH017M-LAN,10.81.4.209,11,Tân Thạnh,BTS Tân Thành,CSHT_LAN_00128
2G_TTH017M_LAN,E1,E1,Tân Thạnh,BTS Tân Thành,CSHT_LAN_00128
3G_TTU014E_LAN,10.81.5.114,3,Thủ Thừa,BTS Tan-Lap,CSHT_LAN_00085
3G_TTU014M_LAN,10.81.5.114,2,Thủ Thừa,BTS Tan-Lap,CSHT_LAN_00085
UL_TTU702B_LAN,10.81.5.114,8,Thủ Thừa,BTS Tan-Lap,CSHT_LAN_00632
4G-TTU014M-LAN,10.81.5.114,16,Thủ Thừa,BTS Tan-Lap,CSHT_LAN_00085
2G_TTU014M_LAN,E1,E1,Thủ Thừa,BTS Tan-Lap,CSHT_LAN_00085
2G_BLU027M_LAN,10.81.5.90,2,Gò Đen,BTS Xã Mỹ Yên,CSHT_LAN_00217
UL_BLU027M_LAN,10.81.4.91,8,Gò Đen,BTS Xã Mỹ Yên,CSHT_LAN_00217
UL_CDU701B_LAN,10.81.4.132,24,Rạch Kiến,CDU010E,CSHT_LAN_00506
3G_CDU019M_LAN,10.81.4.180,24,Rạch Kiến,"CDU019A-LAN (160 ấp 5, Long Sơn)",CSHT_LAN_00277
4G-CDU019M-LAN,10.81.4.180,6,Rạch Kiến,"CDU019A-LAN (160 ấp 5, Long Sơn)",CSHT_LAN_00277
2G_CDU019M_LAN,10.81.4.180,9,Rạch Kiến,"CDU019A-LAN (160 ấp 5, Long Sơn)",CSHT_LAN_00277
UL_CDU021M_LAN,10.81.5.69,2,Rạch Kiến,CDU021A (Ấp 4 Long Khê),CSHT_LAN_00314
2G_CDU021M_LAN,10.81.5.69,3,Rạch Kiến,CDU021A (Ấp 4 Long Khê),CSHT_LAN_00314
UL_CDU022M_LAN,10.81.5.128,21,Rạch Kiến,"CDU022M (Ấp Long Thanh, Long Trạch)",CSHT_LAN_00404
2G_CDU023M_LAN,10.81.5.59,3,Rạch Kiến,CDU023M (Ấp 4 Long Định),CSHT_LAN_00405
UL_CDU023M_LAN,10.81.5.59,2,Rạch Kiến,CDU023M (Ấp 4 Long Định),CSHT_LAN_00405
UL_CDU024M_LAN,10.81.5.132,3,Cần Đước,"CDU024M (Ấp Nhà Dài, Tân Lân)",CSHT_LAN_00376
UL_CDU026M_LAN,10.81.5.123,2,Cần Đước,"CDU026M (Ấp Nhà Thờ, Tân Lân)",CSHT_LAN_00422
UL_CDU027M_LAN,10.81.4.131,2,Cần Đước,CDU027M (KP5 Cần Đước),CSHT_LAN_00424
3G_CDU029M_LAN,10.81.5.118,4,Cần Đước,CDU029M (xã Tân Chánh),CSHT_LAN_00429
4G-CDU029M-LAN,10.81.5.118,5,Cần Đước,CDU029M (xã Tân Chánh),CSHT_LAN_00429
3G_CDU030M_LAN,10.81.4.126,3,Cần Đước,"CDU030M (Ấp Trung, Long Hựu Đông)",CSHT_LAN_00430
4G-CDU030M-LAN,10.81.4.126,19,Cần Đước,"CDU030M (Ấp Trung, Long Hựu Đông)",CSHT_LAN_00430
3G_CDU031M_LAN,10.81.5.165,9,Cần Đước,CDU031M (Ấp 4 Phước Đông),CSHT_LAN_00431
4G-CDU031M-LAN,10.81.5.165,16,Cần Đước,CDU031M (Ấp 4 Phước Đông),CSHT_LAN_00431
UL_CDU032M_LAN,10.81.4.148,15,Rạch Kiến,"CDU032M (Ấp 3, xã Long Cang)",CSHT_LAN_00419
UL_CDU033M_LAN,10.81.5.102,3,Rạch Kiến,"CDU033M (Ấp 3, xã Long Định)",CSHT_LAN_00420
UL_CDU034M_LAN,10.81.5.61,6,Rạch Kiến,"CDU034M (Ấp 4, Xã Long Định)",CSHT_LAN_00425
3G_CDU035M_LAN,10.81.4.132,18,Rạch Kiến,"CDU035M (Ấp 2, Xã Long Khê)",CSHT_LAN_00438
4G-CDU035M-LAN,10.81.4.132,3,Rạch Kiến,"CDU035M (Ấp 2, Xã Long Khê)",CSHT_LAN_00438
3G_CDU036M_LAN,10.81.5.167,10,Rạch Kiến,"CDU036M (ĐT833B, xã Long Cang)",CSHT_LAN_00437
4G-CDU036M-LAN,10.81.5.167,9,Rạch Kiến,"CDU036M (ĐT833B, xã Long Cang)",CSHT_LAN_00437
3G_CDU037M_LAN,10.81.5.191,3,Cần Đước,"CDU037M (Ấp Bà Chủ, Tân Lân)",CSHT_LAN_00440
4G-CDU037M-LAN,10.81.5.191,2,Cần Đước,"CDU037M (Ấp Bà Chủ, Tân Lân)",CSHT_LAN_00440
UL_CDU039M_LAN,10.81.5.154,4,Rạch Kiến,"CDU039M (Ấp Cầu Tràm, xã Long Trạch)",CSHT_LAN_00602
UL_CDU040M_LAN,10.81.4.134,5,Cần Đước,"CDU040M (Đông Trung, Tân Chánh)",CSHT_LAN_00565
UL_CDU041M_LAN,10.81.4.137,12,Cần Đước,"CDU041M (Ấp 4, Phước Đông)",CSHT_LAN_00517
UL_CDU042M_LAN,10.81.4.130,22,Rạch Kiến,"CDU042M (Ấp chợ Mỹ, xã Mỹ Lệ)",CSHT_LAN_00638
UL_CDU043M_LAN,10.81.5.167,2,Rạch Kiến,CDU043M (xã Long Cang),CSHT_LAN_00514
UL_CDU044M_LAN,10.81.5.102,4,Rạch Kiến,CDU044M(Đường số 10),CSHT_LAN_00563
UL_CDU045M_LAN,10.81.4.130,16,Rạch Kiến,"CDU045M (Ấp Mỹ Tây, xã Mỹ Lệ)",CSHT_LAN_00564
UL_CDU047M_LAN,10.81.4.148,11,Rạch Kiến,"CDU047M (Ấp 4, xã Long  Cang)",CSHT_LAN_00721
UL_CDU048M_LAN,10.81.4.118,24,Cần Đước,CDU048M (Thị trấn Cần Đước),CSHT_LAN_00520
UL_CDU049M_LAN,10.81.4.130,5,Rạch Kiến,"CDU049M (Ấp 5, xã Long Hòa)",CSHT_LAN_00652
UL_CDU050M_LAN,10.81.4.180,11,Rạch Kiến,"CDU050M-LAN (Ấp 3, xã Long Sơn)",CSHT_LAN_00661
UL_CDU051M_LAN,10.81.4.123,24,Rạch Kiến,"CDU051M-LAN (Ấp 5, xã Phước Vân)",CSHT_LAN_00704
UL_CDU052M_LAN,10.81.4.137,15,Cần Đước,CDU052M,CSHT_LAN_00859
UL_CDU053M_LAN,10.81.4.126,24,Cần Đước,CDU053M,CSHT_LAN_00861
3G_CDU054M_LAN,10.81.4.243,11,Cần Đước,CDU054M,CSHT_LAN_00951
4G-CDU054M-LAN,10.81.4.243,12,Cần Đước,CDU054M,CSHT_LAN_00951
UL_CDU055M_LAN,10.81.5.143,3,Rạch Kiến,CDU055M,CSHT_LAN_00956
3G_CDU056M_LAN,10.81.4.250,8,Cần Đước,CDU056M,CSHT_LAN_00954
4G-CDU056M-LAN,10.81.4.250,16,Cần Đước,CDU056M,CSHT_LAN_00954
3G_CDU057M_LAN,10.81.4.131,3,Cần Đước,CDU057M,CSHT_LAN_00965
4G-CDU057M-LAN,10.81.4.131,4,Cần Đước,CDU057M,CSHT_LAN_00965
UL_CDU058M_LAN,10.81.5.128,7,Rạch Kiến,CDU058M,CSHT_LAN_00955
UL_CGI022M_LAN,10.81.4.135,2,Cần Giuộc,"CGI022M (Ấp Ngoài, Phước Hậu)",CSHT_LAN_00375
3G_CGI023M_LAN,10.81.5.142,2,Cần Giuộc,"CGI023M (Ấp Tân Hòa, Tân Tập)",CSHT_LAN_00370
4G-CGI023M-LAN,10.81.5.142,22,Cần Giuộc,"CGI023M (Ấp Tân Hòa, Tân Tập)",CSHT_LAN_00370
2G_CGI023M_LAN,10.81.5.142,4,Cần Giuộc,"CGI023M (Ấp Tân Hòa, Tân Tập)",CSHT_LAN_00370
3G_CGI025M_LAN,10.81.4.143,23,Cần Giuộc,CGI025M (KCN Long Hậu),CSHT_LAN_00331
4G-CGI025M-LAN,10.81.4.143,11,Cần Giuộc,CGI025M (KCN Long Hậu),CSHT_LAN_00331
3G_CGI026M_LAN,10.81.4.143,14,Cần Giuộc,CGI026M (Đường số 8 KCN Long Hậu),CSHT_LAN_00406
4G-CGI026M-LAN,10.81.4.143,15,Cần Giuộc,CGI026M (Đường số 8 KCN Long Hậu),CSHT_LAN_00406
UL_CGI027M_LAN,10.81.5.149,2,Cần Giuộc,"CGI027M (Ấp Tân Xuân, Tân Kim)",CSHT_LAN_00402
UL_CGI029M_LAN,10.81.5.149,3,Cần Giuộc,"CGI029M (Ấp Tân Phước, Tân Kim)",CSHT_LAN_00414
2G_CGI030M_LAN,10.81.4.144,17,Cần Giuộc,"CGI030M (Ấp Tân Thanh A, Phước Lại)",CSHT_LAN_00411
UL_CGI030M_LAN,10.81.4.144,21,Cần Giuộc,"CGI030M (Ấp Tân Thanh A, Phước Lại)",CSHT_LAN_00411
UL_CGI036M_LAN,10.81.5.126,6,Cần Giuộc,CGI036M (Ấp Phước Hưng 2),CSHT_LAN_00421
UL_CGI040M_LAN,10.81.4.150,7,Cần Giuộc,CGI040M (Ấp 1 Phước Vĩnh Tây),CSHT_LAN_00423
UL_CGI045M_LAN,10.81.4.135,5,Cần Giuộc,CGI045M-LAN (Ấp Long Khánh),CSHT_LAN_00600
UL_CGI046W_LAN,10.81.4.143,17,Cần Giuộc,"CGI046M-LAN (KCN Long Hậu, ấp 3, xã Long Hậu)",CSHT_LAN_00601
UL_CGI047M_LAN,10.81.5.125,2,Cần Giuộc,CGI047M-LAN (Ấp Phước Lý),CSHT_LAN_00608
UL_CGI048W_LAN,10.81.4.139,9,Cần Giuộc,CGI048M (Long Phú Tân Kim),CSHT_LAN_00522
UL_CGI049W_LAN,10.81.4.139,23,Cần Giuộc,CGI049M (Thanh Hà Tân Kim),CSHT_LAN_00523
UL_CGI050M_LAN,10.81.4.211,23,Cần Giuộc,CGI050M (Thanh Ba Tân Kim),CSHT_LAN_00525
UL_CGI051M_LAN,10.81.4.143,3,Cần Giuộc,CGI051M (Ấp 4 Long Hậu),CSHT_LAN_00631
UL_CGI052M_LAN,10.81.4.145,14,Cần Giuộc,CGI052M (Ấp Thanh Ba),CSHT_LAN_00713
UL_CGI053M_LAN,10.81.4.135,9,Cần Giuộc,CGI053M(Ấp Lộc Hậu),CSHT_LAN_00637
UL_CGI054M_LAN,10.81.4.139,6,Cần Giuộc,CGI054M(Khu phố Phước Thuận),CSHT_LAN_00730
UL_CGI055M_LAN,10.81.4.150,4,Cần Giuộc,CGI055M(119 ấp Tân Quí),CSHT_LAN_00559
UL_CGI056M_LAN,10.81.5.125,4,Cần Giuộc,"CGI056M (Ấp Phú Thành, xã Phước Lý)",CSHT_LAN_00822
4G-CGI057S-LAN,10.81.4.114,19,Cần Giuộc,"CGI057S (KCN Tân Kim, Cty Kizuna)",CSHT_LAN_00759
UL_CGI058M_LAN,10.81.5.77,4,Cần Giuộc,"CGI058M (Ấp Long Bào, xã Phước Lại)",CSHT_LAN_00823
UL_CGI059M_LAN,10.81.5.125,3,Cần Giuộc,"CGI059M (Ấp Phú Thành, xã Phước Lý)",CSHT_LAN_00674
UL_CGI060M_LAN,10.81.4.125,18,Cần Giuộc,CGI060M-LAN (Ấp Vĩnh Phước),CSHT_LAN_00665
UL_CGI061M_LAN,10.81.4.143,18,Cần Giuộc,"CGI061M (Ấp Phước Thới, xã Phước Lại)",CSHT_LAN_00825
UL_CGI062M_LAN,10.81.5.152,7,Cần Giuộc,"CGI062M (KP Hòa Thuận 2, thị trấn Cần Giuộc)",CSHT_LAN_00824
UL_CGI063M_LAN,10.81.4.114,7,Cần Giuộc,"CGI063M (Kyzuna, KCN Tân Kim)",CSHT_LAN_00819
UL_CGI064M_LAN,10.81.5.147,8,Cần Giuộc,"CGI064M (Cảng Tân Tập, xã Tân Tập)",CSHT_LAN_00862
UL_CGI065M_LAN,10.81.4.125,23,Cần Giuộc,"CGI065M-LAN (Ấp Cây Dương, Phước Lý)",CSHT_LAN_00865
3G_CGI066M_LAN,10.81.4.145,4,Cần Giuộc,CGI066M,CSHT_LAN_00927
4G-CGI066M-LAN,10.81.4.145,1,Cần Giuộc,CGI066M,CSHT_LAN_00927
UL_CGI067M_LAN,10.81.5.147,7,Cần Giuộc,CGI067M,CSHT_LAN_00923
UL_CGI068M_LAN,10.81.4.142,8,Cần Giuộc,CGI068M,CSHT_LAN_00940
4G-CGI070M-LAN,10.81.4.145,3,Cần Giuộc,CGI070M,CSHT_LAN_00952
3G_CGI070M_LAN,10.81.4.145,11,Cần Giuộc,CGI070M,CSHT_LAN_00952
UL_CTH700B_LAN,10.81.4.223,4,Châu Thành,CTH014E,CSHT_LAN_00968
3G_CTH020M_LAN,10.81.4.220,16,Châu Thành,CTH020M (Tầm Vu),CSHT_LAN_00368
4G-CTH020M-LAN,10.81.4.220,14,Châu Thành,CTH020M (Tầm Vu),CSHT_LAN_00368
3G_CTH021M_LAN,10.81.4.226,15,Châu Thành,CTH021M (Ấp 4 Hòa Phú),CSHT_LAN_00360
4G-CTH021M-LAN,10.81.4.226,8,Châu Thành,CTH021M (Ấp 4 Hòa Phú),CSHT_LAN_00360
UL_CTH022M_LAN,10.81.4.228,9,Châu Thành,"CTH022M (Ấp Thanh Bình 1, TPL)",CSHT_LAN_00361
3G_CTH023M_LAN,10.81.4.222,11,Châu Thành,"CTH023M (Ấp Bình Trị II, Thuận Mỹ)",CSHT_LAN_00373
4G-CTH023M-LAN,10.81.5.229,21,Châu Thành,"CTH023M (Ấp Bình Trị II, Thuận Mỹ)",CSHT_LAN_00373
2G_CTH023M_LAN,E1,E1,Châu Thành,"CTH023M (Ấp Bình Trị II, Thuận Mỹ)",CSHT_LAN_00373
UL_CTH024M_LAN,10.81.4.221,24,Châu Thành,"CTH024M (Ấp 7, Hiệp Thạnh)",CSHT_LAN_00615
UL_CTH025M_LAN,10.81.5.144,3,Châu Thành,"CTH025M (Ấp Bình Thới 1, Thuận Mỹ))",CSHT_LAN_00690
UL_CTH026M_LAN,10.81.4.223,19,Châu Thành,CTH026M,CSHT_LAN_00827
UL_CTH027M_LAN,10.81.4.223,18,Châu Thành,"CTH027M ( Ấp Bình Xuyên, xã Bình Quới)",CSHT_LAN_00826
3G_CTH028M_LAN,10.81.4.225,9,Châu Thành,CTH028M,CSHT_LAN_00879
4G-CTH028M-LAN,10.81.4.225,10,Châu Thành,CTH028M,CSHT_LAN_00879
3G_CTH029M_LAN,10.81.4.222,3,Châu Thành,CTH029M,CSHT_LAN_00953
4G-CTH029M-LAN,10.81.4.222,5,Châu Thành,CTH029M,CSHT_LAN_00953
3G_TAN030M_LAN,10.81.5.211,14,Tân An 2,Cử Luyện P5,CSHT_LAN_00248
GL_TAN030M_LAN,10.81.5.23,19,Tân An 2,Cử Luyện P5,CSHT_LAN_00248
3G_TAN054M_LAN,10.81.4.19,5,Tân An 2,Cụm CN Lợi Bình Nhơn,CSHT_LAN_00397
GL_TAN054M_LAN,10.81.4.19,12,Tân An 2,Cụm CN Lợi Bình Nhơn,CSHT_LAN_00397
3G_TTR009M_LAN,10.81.4.231,23,Tân Trụ,Đài VT Tân Trụ,CSHT_LAN_00117
4G-TTR009M-LAN,10.81.4.231,21,Tân Trụ,Đài VT Tân Trụ,CSHT_LAN_00117
2G_TTR009M_LAN,E1,E1,Tân Trụ,Đài VT Tân Trụ,CSHT_LAN_00117
UL_DHO037M_LAN,10.81.4.122,21,Hậu Nghĩa,DHO037M (Ngã 3 Gò Mối),CSHT_LAN_00238
2G_DHO037M_LAN,E1,E1,Hậu Nghĩa,DHO037M (Ngã 3 Gò Mối),CSHT_LAN_00238
UL_DHO038M_LAN,10.81.4.70,9,Hậu Nghĩa,DHO038E (Lò Than),CSHT_LAN_00309
UL_DHO041M_LAN,10.81.5.239,3,Hậu Nghĩa,DHO041M (Hồ nước KCN Xuyên Á),CSHT_LAN_00366
2G_DHO041M_LAN,E1,E1,Hậu Nghĩa,DHO041M (Hồ nước KCN Xuyên Á),CSHT_LAN_00366
