NODE,SWIP,PORT,TOKYTHUAT,TRAM,MACSHT
GL_DHO035E_LAN,10.81.4.45,18,Đức Hòa,DHO035B,CSHT_LAN_00136
GL_DHO057X_LAN,10.81.4.54,9,Đức Hòa,DHO057M (Khu Liksing),CSHT_LAN_00394
GL_TAN001M_LAN,10.81.5.39,10,Tân An 1,Trạm An Thuận,CSHT_LAN_00220
GL_TAN002M_LAN,10.81.5.12,21,Tân An 1,Trạm An Vĩnh Ngãi,CSHT_LAN_00156
GL_TAN005M_LAN,10.81.5.10,9,Tân An 1,Trạm Bệnh Viện,CSHT_LAN_00027
GL_TAN006M_LAN,10.81.5.34,3,Tân An 1,Trạm Bình Tâm,CSHT_LAN_00134
GL_TAN011M_LAN,10.81.5.242,3,Tân An,Trạm KP Bình Yên,CSHT_LAN_00077
GL_TAN019M_LAN,10.81.4.18,21,Tân An 2,Trạm Hướng Thọ Phú,CSHT_LAN_00005
GL_TAN020M_LAN,10.81.5.122,6,Tân An,Trạm Kiến Phát,CSHT_LAN_00040
SR_TAN025M_LAN,10.81.4.24,2,Tân An,Host Trung tâm,CSHT_LAN_00116
GL_TAN027M_LAN,10.81.5.29,23,Tân An,Trạm Cư xá Ngân Hàng,CSHT_LAN_00196
SR_BLU009M_LAN,10.81.4.87,13,Bến Lức,Trạm VT Bến Lức,CSHT_LAN_00160
SR_BLU026M_LAN,10.81.5.95,8,Bến Lức,Trạm Voi Lá,CSHT_LAN_00199
UL_BLU097M_LAN,10.81.4.103,3,Bến Lức,BLU097M,CSHT_LAN_00876
UL_BLU098M_LAN,10.81.4.103,17,Bến Lức,BLU098M,CSHT_LAN_00921
UL_BLU100M_LAN,10.81.4.91,20,Gò Đen,BLU100M,CSHT_LAN_00926
UL_BLU101M_LAN,10.81.4.86,9,Bến Lức,BLU101M,CSHT_LAN_00917
UL_CDU059M_LAN,10.81.5.61,9,Cần Đước,CDU059M,CSHT_LAN_00877
UL_CGI033M_LAN,10.81.4.135,18,Cần Giuộc,CGI033M,CSHT_LAN_00938
UL_DHO055M_LAN,10.81.4.65,3,Đức Hòa,DHO055M,CSHT_LAN_00900
UL_DHO056M_LAN,10.81.5.159,8,Hậu Nghĩa,DHO056M,CSHT_LAN_00909
UL_DHO144M_LAN,10.81.4.54,13,Đức Hòa,DHO144M,CSHT_LAN_00882
UL_DHO148M_LAN,10.81.4.46,14,Đức Hòa,DHO148M,CSHT_LAN_00903
UL_DHO149M_LAN,10.81.4.53,21,Đức Hòa,DHO149M,CSHT_LAN_00897
UL_DHO150M_LAN,10.81.4.46,7,Đức Hòa,DHO150M,CSHT_LAN_00896
UL_DHO151M_LAN,10.81.4.50,5,Đức Hòa,DHO151M,CSHT_LAN_00902
UL_DHO152M_LAN,10.81.5.46,11,Đức Hòa,DHO152M,CSHT_LAN_00884
UL_DHO153M_LAN,10.81.5.239,2,Hậu Nghĩa,DHO153M,CSHT_LAN_00901
UL_DHO154M_LAN,10.81.4.54,10,Đức Hòa,DHO154M,CSHT_LAN_00898
UL_DHU035M_LAN,10.81.4.165,4,Đức Huệ,DHU035M,CSHT_LAN_00907
UL_TAN038M_LAN,10.81.4.38,22,Tân An,TAN038M,CSHT_LAN_00908
UL_TAN046M_LAN,10.81.5.30,17,Tân An 1,TAN046M,CSHT_LAN_00892
UL_TAN704B_LAN,10.81.4.24,9,Tân An,TAN048E,CSHT_LAN_00645
UL_TAN086M_LAN,10.81.4.37,16,Tân An,Tòa nhà VNPT Long An,CSHT_LAN_00527
UL_THU702B_LAN,10.81.5.190,2,Tân Hưng,THU005N,CSHT_LAN_00643
UL_TTH702B_LAN,10.81.5.251,18,Tân Thạnh,Trạm VT Tân Thạnh,CSHT_LAN_00687
UL_TTU700B_LAN,10.81.5.87,10,Thủ Thừa,Trạm Long Thạnh,CSHT_LAN_00682
UL_TTU021M_LAN,10.81.4.215,10,Thủ Thừa,TTU021M,CSHT_LAN_00945
UL_TTU703B_LAN,10.81.4.15,7,Tân An 2,TTU045E,CSHT_LAN_00648
UL_TTU050M_LAN,10.81.4.117,11,Thủ Thừa,TTU050M,CSHT_LAN_00895
UL_VHU700B_LAN,10.81.5.203,24,Vĩnh Hưng,Trạm BTS Chùa Nổi,CSHT_LAN_00685
UL_VHU702B_LAN,10.81.4.186,8,Vĩnh Hưng,Trạm VT Vĩnh Hưng,CSHT_LAN_00684
UL_VHU705B_LAN,10.81.4.186,24,Vĩnh Hưng,VHU024X,CSHT_LAN_00649
4G-CDU060S-LAN,10.81.5.128,14,Rạch Kiến,CDU060S,CSHT_LAN_00689
